County,Farming,Tea,Coffee,Avocado,Citrus,Mango,Coconut,Macadamia,Cashew Nut,Khat (Miraa),Male,Female,Intersex,Population,NumberOfHouseholds,AverageHouseholdSize,NumbHouse
Kenya,6354211,476613,478936,966976,177445,796867,90952,195999,61664,134148,23548056,24014716,1524,47213282,12143913,3.9,12105969.743589744
Mombasa,12497,NA,NA,NA,NA,NA,1688,NA,602,NA,610257,598046,30,1190987,378422,3.1,384189.35483870964
Kwale,108074,NA,NA,1063,10053,30272,31954,881,22803,NA,425121,441681,18,858748,173176,5,171749.6
Kilifi,161188,NA,NA,NA,6808,37519,47561,NA,27940,NA,704089,749673,25,1440958,298472,4.8,300199.5833333334
Tana River,35094,NA,NA,NA,1109,6561,2228,NA,1691,NA,158550,157391,2,314710,68242,4.6,68415.21739130435
Lamu,18678,NA,NA,NA,2742,7423,5017,189,8085,NA,76103,67813,4,141909,37963,3.7,38353.78378378378
Taita/Taveta,56920,NA,NA,7963,3284,7171,2504,3650,543,NA,173337,167327,7,335747,96429,3.5,95927.71428571429
Garissa,47645,NA,NA,NA,NA,1726,NA,NA,NA,NA,458975,382344,34,835482,141394,5.9,141607.11864406778
Wajir,63433,NA,NA,NA,NA,NA,NA,NA,NA,NA,415374,365840,49,775302,127932,6.1,127098.68852459016
Mandera,62639,NA,NA,NA,NA,2685,NA,NA,NA,NA,434976,432444,37,862079,125763,6.9,124938.98550724637
Marsabit,39167,NA,NA,NA,NA,NA,NA,NA,NA,NA,243548,216219,18,447150,77495,5.8,77094.8275862069
Isiolo,24271,NA,NA,NA,NA,NA,NA,NA,NA,NA,139510,128483,9,267997,58072,4.6,58260.21739130435
Meru,274865,30404,28195,41746,6255,27457,NA,29545,NA,85023,767698,777975,41,1535635,426360,3.6,426565.27777777775
Tharaka-Nithi,85767,7227,15792,13171,1630,14102,NA,9280,NA,8404,193764,199406,7,391303,109860,3.6,108695.27777777778
Embu,130990,18664,28996,19355,3581,26771,NA,27488,NA,34900,304208,304367,24,604769,182743,3.3,183263.33333333334
Kitui,215322,NA,NA,12066,7510,35471,NA,NA,NA,NA,549003,587151,33,1130134,262942,4.3,262821.8604651163
Machakos,231341,NA,23525,45243,22797,75504,NA,6519,NA,NA,710707,711191,34,1414022,402466,3.5,404006.28571428574
Makueni,193531,NA,3371,34107,27006,70130,NA,4293,NA,NA,489691,497942,20,977015,244669,4,244253.75
Nyandarua,140854,NA,NA,2892,1580,NA,NA,NA,NA,NA,315022,323247,20,636002,179686,3.5,181714.85714285713
Nyeri,164229,23300,57983,22810,2521,10228,NA,25436,NA,NA,374288,384845,31,752695,248050,3,250898.33333333334
Kirinyaga,139866,25135,47835,19691,2429,15311,NA,28508,NA,5821,302011,308369,31,605630,204188,3,201876.66666666666
Murang'a,231400,43819,64533,52839,7210,38361,NA,35618,NA,NA,523940,532669,31,1053059,318105,3.3,319108.7878787879
Kiambu,214052,20958,31152,31392,2160,9855,NA,11748,NA,NA,1187146,1230454,135,2402834,795241,3,800944.6666666666
Turkana,61209,NA,NA,NA,NA,NA,NA,NA,NA,NA,478087,448868,21,922210,164519,5.6,164680.35714285716
West Pokot,89828,NA,1026,7535,1173,4426,NA,NA,NA,NA,307013,314213,15,618867,116182,5.3,116767.35849056604
Samburu,43149,NA,NA,NA,NA,NA,NA,NA,NA,NA,156774,153546,7,307957,65910,4.7,65522.765957446805
Trans Nzoia,140249,2780,4089,26594,1987,6721,NA,NA,NA,NA,489107,501206,28,985333,223808,4.4,223939.31818181818
Uasin Gishu,141547,NA,NA,8430,1376,2505,NA,NA,NA,NA,580269,582889,28,1152671,304943,3.8,303334.47368421056
Elgeyo/Marakwet,74881,751,1390,5224,1632,6430,NA,518,NA,NA,227317,227151,12,453403,99861,4.5,100756.22222222222
Nandi,148887,37564,11044,29356,1202,5806,NA,NA,NA,NA,441259,444430,22,883634,199426,4.4,200825.9090909091
Baringo,100465,NA,3069,12372,2605,10600,NA,1673,NA,NA,336322,330428,13,662760,142518,4.7,141012.7659574468
Laikipia,90729,NA,NA,5273,2121,2103,NA,773,NA,NA,259440,259102,18,513879,149271,3.4,151140.88235294117
Nakuru,283652,10041,NA,20209,4332,6560,NA,NA,NA,NA,1077272,1084835,95,2142667,616046,3.5,612190.5714285715
Narok,181706,NA,NA,13430,1784,2332,NA,NA,NA,NA,579042,578805,26,1149379,241125,4.8,239453.95833333334
Kajiado,97565,NA,NA,2994,NA,2776,NA,NA,NA,NA,557098,560704,38,1107296,316179,3.5,316370.28571428574
Kericho,150845,55837,24774,40748,2283,5588,NA,NA,NA,NA,450741,451008,28,896863,206036,4.4,203832.49999999997
Bomet,152564,50704,1940,44903,3298,3679,NA,NA,NA,NA,434287,441379,23,873023,187641,4.7,185749.5744680851
Kakamega,335269,4644,2990,63886,4435,49075,NA,2292,NA,NA,897133,970406,40,1861332,433207,4.3,432867.9069767442
Vihiga,113753,11273,1717,34321,1233,26209,NA,NA,NA,NA,283678,306323,12,587189,143365,4.1,143216.8292682927
Bungoma,280445,2047,37773,73765,5268,54581,NA,2428,NA,NA,812146,858389,35,1663898,358796,4.6,361716.95652173914
Busia,148257,NA,1498,27498,3616,35530,NA,1148,NA,NA,426252,467401,28,886856,198152,4.5,197079.11111111112
Siaya,194362,NA,NA,31729,7350,44660,NA,1262,NA,NA,471669,521496,18,989708,250698,3.9,253771.28205128206
Kisumu,147117,NA,NA,19478,5265,28305,NA,NA,NA,NA,560942,594609,23,1144777,300745,3.8,301257.1052631579
Homa Bay,193812,1365,2864,29880,7496,34557,NA,1554,NA,NA,539560,592367,23,1125823,262036,4.3,261819.3023255814
Migori,169958,NA,3864,33338,4444,27231,NA,1196,NA,NA,536187,580214,35,1108950,240168,4.6,241076.08695652176
Kisii,219853,67394,53580,88326,3850,17144,NA,NA,NA,NA,605784,661038,38,1260509,308054,4.1,307441.21951219515
Nyamira,110028,62706,25936,43349,2020,3502,NA,NA,NA,NA,290907,314656,13,603051,150669,4,150762.75
Nairobi,32258,NA,NA,NA,NA,NA,NA,NA,NA,NA,2192452,2204376,245,4337080,1506888,2.9,1495544.8275862068
